Favwon,Prior,Market,Bet,Kelly,Month,Numberofsets,Wrank,Lrank,Markettotal
0,0.6752883,-0.20982411,1,0,12,3,30,195,0.885112409
1,0.621929793,-0.272204685,1,0.237833607,12,3,32,58,0.894134478
0,0.632939628,-0.140575224,1,0,12,3,44,82,0.773514851
1,0.714156164,-0.170956246,1,0.10218687,12,3,19,101,0.885112409
0,0.641589113,-0.002160083,0,0,12,3,29,93,0.643749195
0,0.663099042,0.034958339,1,0,12,3,63,86,0.628140704
1,0.565105278,-0.07518157,1,0.019408187,12,3,18,47,0.640286849
1,0.533985024,-0.129584982,1,0.122009674,12,3,112,117,0.663570007
0,0.563773535,-0.136702789,1,0,12,3,84,150,0.700476324
0,0.520136794,-0.173056052,1,0.233147686,12,3,60,102,0.693192846
1,0.595250657,0.057760734,1,0.152602548,12,3,40,89,0.537489922
0,0.505401835,-0.078642085,1,0.05711511,12,3,33,62,0.58404392
1,0.532842786,-0.040420227,0,0,12,3,37,50,0.573263013
1,0.62415879,0.080207528,1,0.217161607,12,3,55,88,0.543951262
1,0.917376957,-0.056143292,1,0,1,3,2,123,0.973520249
0,0.688916321,0.058200458,1,0,1,3,122,253,0.630715863
0,0.827557132,0.099931617,1,0,1,3,94,759,0.727625515
1,0.787391242,-0.160655782,1,0.084196171,1,3,17,125,0.948047023
1,0.606792131,-0.019512671,0,0,1,3,90,187,0.626304802
1,0.81340298,-0.09717797,1,0.011616817,1,3,4,215,0.910580951
1,0.825660414,0.009467139,1,0.243094963,1,3,36,143,0.816193275
1,0.589681886,-0.166747766,1,0.144051829,1,3,43,76,0.756429652
0,0.779683974,-0.033191981,0,0,1,3,16,114,0.812875955
1,0.642510532,-0.232839608,1,0.188844147,1,3,34,46,0.87535014
1,0.682815978,0.010592262,1,0.11893569,1,3,25,68,0.672223716
0,0.65925572,-0.045863445,0,0,1,3,53,77,0.705119165
1,0.60945408,-0.086601604,1,0.021828791,1,3,61,177,0.696055684
0,0.823525448,-0.039734221,0,0,1,3,22,194,0.863259669
1,0.586464306,-0.26402047,1,0.247064723,1,3,21,64,0.850484776
1,0.756520376,-0.080720079,1,0,1,3,11,48,0.837240455
1,0.554527241,-0.286232806,1,0.28675997,1,3,52,87,0.840760047
0,0.548713204,-0.076052509,1,0,1,3,91,126,0.624765713
0,0.596045111,0.013430336,1,0,1,3,70,98,0.582614775
0,0.501255531,-0.067831653,1,0.041475653,1,3,75,99,0.569087184
1,0.504111033,-0.116544379,1,0.122000258,1,3,67,72,0.620655412
