Prior,Market
0.914,-0.007
0.875,-0.054
0.997,0.006
0.899,0.072
0.777,-0.044
0.876,-0.062
0.524,0.112
0.642,0.106
0.75,-0.022
0.546,-0.041
0.68,-0.11
0.939,0.118
0.739,0.019
0.619,-0.05
0.934,0.013
0.598,-0.063
0.877,-0.061
0.568,-0.216
0.997,0.042
0.619,-0.063
0.944,0.046
0.749,-0.065
0.539,-0.263
0.726,0.115
0.612,0.161
0.571,0.174
0.51,-0.094
0.78,-0.016
0.581,0.175
0.509,-0.192
0.676,-0.114
0.674,-0.18
0.565,-0.036
0.738,0.037
0.858,0.086
0.657,0.053
0.62,-0.17
0.53,-0.029
0.817,0.172
0.701,0
0.802,0.018
0.552,-0.013
0.768,-0.072
0.772,0.022
0.583,0.057
0.771,-0.013
0.648,-0.179
0.699,0.012
0.724,-0.011
0.593,-0.004
0.548,-0.254
0.938,-0.017
0.509,-0.124
0.912,0.022
0.592,0.005
0.682,0.033
0.847,0
0.891,0.113
0.934,0.094
0.791,-0.092
0.699,0.025
0.961,-0.02
0.685,-0.111
0.863,0.009
0.624,-0.021
0.677,-0.137
0.655,-0.141
0.815,-0.098
0.761,-0.144
0.578,-0.147
0.753,0.003
0.644,0.168
0.911,0.196
0.689,-0.089
0.728,-0.012
0.912,-0.017
0.676,0.035
0.694,0.068
0.748,-0.066
0.885,0.031
0.645,-0.09
0.507,-0.265
0.914,0.053
0.819,-0.028
0.726,0.035
0.875,-0.008
0.835,-0.019
0.674,-0.11
0.95,0.004
0.575,-0.047
0.551,-0.123
0.577,-0.163
0.885,-0.02
0.611,-0.067
0.769,-0.021
0.832,-0.066
0.677,0.164
0.556,-0.169
0.721,-0.024
0.838,-0.125
0.626,0.113
0.85,0.125
0.737,-0.138
0.671,-0.156
0,0
0.704,-0.104
0.516,0.003
0.748,0.115
0.932,0.003
0.516,-0.185
0.516,0.013
0.788,0.038
0.74,-0.005
0.581,0.126
0.805,0.06
0.75,0.132
0.505,0.038
0.581,-0.34
0.504,0.066
0.612,-0.228
0.7,0.022
0.854,-0.109
0.875,0.048
0.75,0.146
0.929,0.046
0.967,-0.014
0.715,0
0.635,0.048
0.553,0.086
0.744,0.034
0.945,0.016
0.838,0.017
0.931,0.026
0.866,-0.032
0.69,-0.077
0.75,-0.028
0.645,-0.075
0.612,0.161
0.606,-0.095
0.506,-0.047
0.757,0.052
0.741,-0.004
0.625,-0.04
0,0
0.73,0.036
0.9,0.023
0.86,-0.002
0.788,0.036
0.538,-0.083
0.856,0.056
0.794,-0.039
0.582,-0.012
0.55,0.037
0.756,0.091
0.751,0.102
0.58,-0.001
0.523,0.047
0.72,0.026
0.75,0.04
0.935,0.052
0.603,-0.026
0.668,-0.104
0.821,0.021
0.606,0.025
0.887,0.01
0.656,-0.089
0.868,-0.045
0.789,0.008
0.552,-0.102
0.78,-0.04
0.844,0.13
0.575,-0.13
0.652,0.071
0.729,0.004
0.804,-0.029
0.512,0.136
0.803,0.166
0.519,-0.037
0.56,0.047
0.909,0.026
0.51,-0.036
0.981,0
0.817,0.164
0.738,0.101
0.882,0.121
0.893,-0.036
0.606,-0.027
0.623,-0.064
0.66,-0.005
0.792,-0.035
0.83,0.003
0.733,0.244
0.829,-0.076
0.571,-0.174
0.573,-0.06
0.543,-0.122
0.544,-0.134
0.583,0.015
0.633,0.018
0.852,-0.038
0.945,-0.01
0.969,0.023
0.938,0.009
0.565,-0.191
0.787,-0.003
0.802,-0.018
0.652,-0.068
0.561,-0.14
0.69,0.214
0.684,-0.177
0.709,0.06
0.797,0.045
0.595,-0.042
0.78,0.011
0.506,-0.04
0.65,-0.055
0.532,-0.146
0.609,0.05
0.606,-0.139
0.66,-0.001
0.797,0.036
0.546,-0.044
0.715,0.014
0.501,-0.038
0.698,-0.11
0.558,-0.057
0.592,-0.153
0.682,0.085
0.606,0.012
0.533,-0.026
0.725,-0.036
0.685,0.007
0.769,0.091
0.561,0.077
0.625,-0.053
0.573,0.034
0.698,0.142
0.711,-0.019
0.517,0.114
0.516,-0.224
0.72,0.253
0.577,-0.088
0,0
0,0
0,0
0.859,0.154
0.57,0.113
0.642,-0.063
0.845,-0.093
0.671,0.006
0.943,0.014
0.881,0.073
0.611,-0.134
0.627,0.235
0.502,0.143
0.694,0.016
0.827,-0.056
0.709,0.119
0.702,-0.138
0,0
0.699,-0.128
0,0
0,0
0.675,-0.288
0,0
0.956,0.018
0.871,-0.004
0.757,0.012
0,0
0.803,-0.024
0.831,0.106
0.676,0.086
0,0
0.577,0.051
0,0
0,0
0.872,0.045
0,0
0.901,0.011
0,0
0.805,0.104
0,0
0.782,-0.123
0.719,-0.121
0.503,-0.056
0.678,0.152
0,0
0,0
0.901,0.011
0.663,0.206
0,0
0.529,-0.061
0,0
0,0
0,0
0.724,-0.166
